Comment,Designator,Footprint,LCSC Number
22p,"C1,C2",Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C1653
10u,C4,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C96446
0.1u,"C3,C5,C6",Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C24452
1u,C7,Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C15849
D,"D_0,D_ESC1,D_1,D_MINUS1,D_EQUAL1,D_BACKSPACE1,D_`1,D_TAB1,D_Q1,D_W1,D_E1,D_R1,D_T1,D_Y1,D_U1,D_I1,D_O1,D_P1,D_[1,D_]1,D_BSLSH1,D_DEL1,D_CAPS_LOCK1,D_A1,D_S1,D_D1,D_F1,D_G1,D_H1,D_J1,D_K1,D_L1,D_SEMIC1,D_QUOTE1,D_ENTER1,D_PAGE_UP1,D_Z1,D_X1,D_C1,D_V1,D_B1,D_N1,D_M1,D_COMMA1,D_DOT1,D_SLASH1,D_SHIFT1,D_UP1,D_PAGE_DOWN1,D_WIN1,D_SPACE1,D_ALT1,D_RIGHT1,D_DOWN1,D_LEFT1,D_CTRL1,D_FN1,D_2,D_SHIFT2,D_CTRL2,D_ALT2,D_3,D_4,D_5,D_6,D_7,D_8,D_9",keyboard_parts:D_SOD123_hand,C64898
500mA,F1,Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C70076
10k,"R1,R2",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17414
22,"R3,R4",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17561
5.1k,"R5,R6",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C27834
ATmega32U4-MU,U1,Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C45874
PRTR5V0U2X,U2,random-keyboard-parts:SOT143B,C316030
HRO-TYPE-C-31-M-12,USB1,Type-C:HRO-TYPE-C-31-M-12-HandSoldering,C165948
XTAL_GND,X1,Crystals:crystal_FA238-TSX3225,C89371
