Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,45.125,-54.05,270,bottom
C2,22p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,52.875,-54.05,90,bottom
C3,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,55.1,-58.95,90,bottom
C4,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,43.5,-67.55,270,bottom
C5,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,52.775,-69.35,180,bottom
C6,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,43.49,-58.07,90,bottom
C7,1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,42.775,-62.85,270,bottom
D_0,D,D_SOD123_hand,223.12725,-29.36875,90,bottom
D_1,D,D_SOD123_hand,56.35625,-29.36875,90,bottom
D_2,D,D_SOD123_hand,70.72725,-29.36875,90,bottom
D_3,D,D_SOD123_hand,89.77725,-29.36875,90,bottom
D_4,D,D_SOD123_hand,108.82725,-29.36875,90,bottom
D_5,D,D_SOD123_hand,127.87725,-29.36875,90,bottom
D_6,D,D_SOD123_hand,146.92725,-29.36875,90,bottom
D_7,D,D_SOD123_hand,165.97725,-29.36875,90,bottom
D_8,D,D_SOD123_hand,185.02725,-29.36875,90,bottom
D_9,D,D_SOD123_hand,204.07725,-29.36875,90,bottom
D_A1,D,D_SOD123_hand,65.96475,-67.46875,90,bottom
D_ALT1,D,D_SOD123_hand,212.2481,-105.56875,90,bottom
D_ALT2,D,D_SOD123_hand,82.6335,-105.56875,90,bottom
D_B1,D,D_SOD123_hand,151.68975,-86.51875,90,bottom
D_BACKSPACE1,D,D_SOD123_hand,289.80225,-29.36875,90,bottom
D_BSLSH1,D,D_SOD123_hand,294.56475,-48.41875,90,bottom
D_C1,D,D_SOD123_hand,113.58975,-86.51875,90,bottom
D_CAPS_LOCK1,D,D_SOD123_hand,24.85,-67.46875,90,bottom
D_COMMA1,D,D_SOD123_hand,208.83975,-86.51875,90,bottom
D_CTRL1,D,D_SOD123_hand,261.22725,-105.56875,90,bottom
D_CTRL2,D,D_SOD123_hand,35.0085,-105.56875,90,bottom
D_D1,D,D_SOD123_hand,104.06475,-67.46875,90,bottom
D_DEL1,D,D_SOD123_hand,318.3761,-48.41875,90,bottom
D_DOT1,D,D_SOD123_hand,227.88975,-86.51875,90,bottom
D_DOWN1,D,D_SOD123_hand,299.32725,-105.56875,90,bottom
D_E1,D,D_SOD123_hand,99.30225,-48.41875,90,bottom
D_ENTER1,D,D_SOD123_hand,287.421,-67.46875,90,bottom
D_EQUAL1,D,D_SOD123_hand,261.22725,-29.36875,90,bottom
D_ESC1,D,D_SOD123_hand,51.67725,-29.36875,90,bottom
D_F1,D,D_SOD123_hand,123.11475,-67.46875,90,bottom
